text,disease
I feel terrible with itching around anus and pain during bowel movements.,Hemorrhoids
"Suffering from hyperpigmentation (darkened skin), low blood pressure, dizziness",Addison's Disease
"Over the last 48 hours, I noticed hard dry stools, straining during bowel movements, feeling of incomplete evacuation and bloating.",Constipation
Experiencing extreme fatigue,Addison's Disease
"Noticed severe sweating, confusion, hunger",Hypoglycemia
I cannot sleep because of high fever and tiny white spots inside mouth.,Measles
"Lately I have been feeling arm weakness, slurred speech, loss of balance and vision loss.",Stroke
"I feel terrible with rapid heartbeat, confusion and hunger.",Hypoglycemia
Experiencing runny nose,Common Cold
Patient reports slow-healing cuts and tingling in hands and feet with increasing discomfort.,Diabetes Type 2
Experiencing dry mouth,Dehydration
"Patient reports cyclical high fever, shivering chills and fatigue with increasing discomfort.",Malaria
"Suffering from tingling or numbness in arms or fingers and headache starting at back of neck, need medical guidance.",Cervical Spondylosis
"Clinical notes: Patient presenting with rapid heart rate, anxiety and bulging eyes.",Hyperthyroidism
"Doctor, I've had severe itching, bumps and blisters, burning sensation",Contact Dermatitis
Experiencing fever,Ulcerative Colitis
Experiencing acute memory problems and pale or jaundiced skin.,Vitamin B12 Deficiency
"Been having joint pain during or after movement, joint stiffness in mornings, loss of joint flexibility",Osteoarthritis
"Suffering from persistent sad empty mood, loss of interest in hobbies and feelings of worthlessness, need medical guidance.",Major Depressive Disorder
Feeling dull discomfort in upper right abdomen,Fatty Liver Disease
I have vomiting,Gallstones
"It started yesterday with fever, loss of taste or smell and shortness of breath.",COVID-19
I have mild itching,Impetigo
I have grating sensation,Osteoarthritis
"Suffering from cyclical high fever, shivering chills, profuse sweating and body ache, need medical guidance.",Malaria
"Noticed severe chronic diarrhea, weight loss, skin rash",Celiac Disease
"Feeling resting tremor, impaired balance, soft voice",Parkinson's Disease
"Suffering from persistent fatigue, nausea, loss of appetite and metallic taste in mouth, need medical guidance.",Chronic Kidney Disease
Feeling sudden intense joint pain in big toe,Gout
Feeling pain relieved by sitting up and leaning forward,Pericarditis
Experiencing high blood pressure,Metabolic Syndrome
"Woke up today with throbbing headache, nausea, light sensitivity and visual aura.",Migraine
"I cannot sleep because of waking up too early, daytime fatigue, irritability and difficulty concentrating.",Insomnia Disorder
"Clinical notes: Patient presenting with weight gain around abdomen, purple stretch marks and high blood pressure.",Cushing's Syndrome
Experiencing severe sore throat,Pharyngitis
"Suffering from acid regurgitation, difficulty swallowing and sour taste in mouth, need medical guidance.",GERD
"It started yesterday with pain behind the eyes, joint and muscle ache and mild bleeding.",Dengue Fever
"Over the last 48 hours, I noticed fatigue, dark urine, joint pain and nausea.",Hepatitis B
"Noticed severe nausea, vomiting, body aches",Gastroenteritis
"I feel terrible with mild fever, fatigue and wheezing.",Bronchitis
I've been dealing with sharp ear pain and feeling of fullness in ear and it is getting worse.,Otitis Media
Lately I have been feeling joint and muscle ache and skin rash.,Dengue Fever
"Patient presenting with clear skin in center of ring, skin peeling, cracked skin",Fungal Skin Infection
"Feeling high fever, vomiting, painful frequent urination",Pyelonephritis
Feeling low blood pressure,Addison's Disease
"Been having confusion, dizziness, numbness in fingers",Electrolyte Imbalance
Feeling frequent nighttime urination,Benign Prostatic Hyperplasia
"I have crushing chest pain, severe nausea, dizziness",Heart Attack
"Lately I have been feeling easy or excessive bruising, prolonged bleeding from small cuts and nosebleeds.",Thrombocytopenia
Feeling visual aura,Migraine
Feeling vomiting,Cholera
"I'm experiencing pain radiating to left arm neck or jaw, cold sweat, shortness of breath and dizziness.",Heart Attack
"Doctor, I've had extreme hunger, fatigue, blurred vision",Diabetes Type 1
"Feeling nausea, constipation, abdominal tenderness",Diverticulitis
"Doctor, I've had persistent fatigue, foamy urine, metallic taste in mouth",Chronic Kidney Disease
"Doctor, I've had widespread musculoskeletal pain, sleep disturbances, tender trigger points",Fibromyalgia
"Patient presenting with low blood pressure, nausea, dizziness",Addison's Disease
Feeling sudden high fever,Dengue Fever
"I'm experiencing abdominal cramping, bloating, mucus in stool and food intolerance.",Irritable Bowel Syndrome
I have bulging eyes,Hyperthyroidism
Experiencing swollen ankles,Glomerulonephritis
Experiencing heart palpitations,Pericarditis
"Suffering from cyclical high fever, nausea, body ache",Malaria
"Doctor, I've had tingling around bite site, fever, headache and agitation for the past few days.",Rabies Exposure
Feeling headache,Mononucleosis
I have avoidance of social situations,Social Anxiety Disorder
"Patient presenting with sudden spinning sensation when turning head, dizziness when rolling over in bed, nausea with head movement",Benign Paroxysmal Positional Vertigo
"Been having loud snoring, gasping for air during sleep, morning headache",Sleep Apnea
"Been having chest pain on deep inhalation, shortness of breath, dry persistent cough",Pleural Effusion
I have nausea,Chronic Kidney Disease
"I've been dealing with unintended weight loss, sweating and anxiety and it is getting worse.",Hyperthyroidism
"Noticed severe dizziness, shortness of breath, nosebleeds",Hypertension
"I have slow heartbeat, dizziness and lightheadedness, what could this be?",Arrhythmia
"Clinical notes: Patient presenting with sharp lower right abdominal pain, nausea and rebound tenderness.",Appendicitis
"Experiencing irregular periods, thinning hair on scalp, weight gain",Polycystic Ovary Syndrome
"Patient presenting with high fever, fatigue, headache",Influenza
"Feeling high fever, cough with phlegm, chest pain",Pneumonia
"I have throbbing headache, light sensitivity, dizziness",Migraine
"Been having cough, runny nose, blotchy skin rash",Measles
"Suffering from raised red itchy welts, swelling that changes shape and location and burning sensation on skin, need medical guidance.",Urticaria
"Lately I have been feeling animal bite on skin, tingling around bite site and fever.",Rabies Exposure
"I have sneezing and sore throat, what could this be?",Common Cold
"Lately I have been feeling red swollen tender skin area, rapidly expanding redness, fever and blisters over red area.",Cellulitis
Experiencing skin peeling,Fungal Skin Infection
"My main issues right now are persistent excessive worry, muscle tension, irritability and sleep disturbance.",Generalized Anxiety Disorder
I have dry cracked skin that may bleed,Psoriasis
Feeling sudden shortness of breath,Pulmonary Embolism
"Been having increased thirst, slow-healing cuts, darkened skin patches",Diabetes Type 2
Experiencing slow movement,Parkinson's Disease
I have chills,Influenza
Lately I have been feeling cramping abdominal pain and weight loss.,Ulcerative Colitis
"Over the last 48 hours, I noticed tingling in hands and feet, fatigue and pale or jaundiced skin.",Vitamin B12 Deficiency
Experiencing runny nose,Measles
"I've been dealing with chills, fatigue and sore throat and it is getting worse.",Influenza
Experiencing blushing and sweating around people,Social Anxiety Disorder
"Suffering from fever, fatigue and body aches, need medical guidance.",Lyme Disease
Feeling fatigue,Crohn's Disease
Experiencing inability to close one eye,Bell's Palsy
I have electric shock sensations,Multiple Sclerosis
Feeling blood in urine,Kidney Stones
"Clinical notes: Patient presenting with fatigue, nausea, pale stools and loss of appetite.",Hepatitis A
"Doctor, I've had dry skin and brittle hair for the past few days.",Hypothyroidism
"Over the last 48 hours, I noticed white or yellow coating on tonsils, enlarged tender neck nodes and bad breath.",Tonsillitis
"I have itching around anus, pain during bowel movements, swelling or lump near anus",Hemorrhoids
It started yesterday with vomiting and rapid dehydration.,Cholera
"Woke up today with sudden spinning sensation when turning head, dizziness when rolling over in bed and nausea with head movement.",Benign Paroxysmal Positional Vertigo
"Experiencing sudden one-sided facial paralysis, drooping mouth, inability to close one eye",Bell's Palsy
"I have chest pain on deep inhalation, dry persistent cough, fever",Pleural Effusion
"Clinical notes: Patient presenting with tingling in hands and feet, smooth red tongue, memory problems and unsteady balance.",Vitamin B12 Deficiency
"Lately I have been feeling extreme thirst, frequent urination and fatigue.",Diabetes Type 1
Clinical notes: Patient presenting with hard dry stools and straining during bowel movements.,Constipation
"Patient reports profuse sweating, headache, body ache and fatigue with increasing discomfort.",Malaria
Feeling bloating,Gastritis
"Suffering from fatigue, dry skin, brittle hair",Hypothyroidism
Lately I have been feeling heartburn and chest burning.,GERD
I have headache,Rabies Exposure
"Doctor, I've had fatigue, skin rash, iron deficiency",Celiac Disease
"Lately I have been feeling burning stomach pain between meals, feeling full too quickly, bloating and dark stools.",Peptic Ulcer
I have loud snoring,Sleep Apnea
"I have bruising easily, joint and muscle aches, slow wound healing",Scurvy
"Lately I have been feeling itchy fluid-filled blisters, loss of appetite, headache and red spots on skin.",Chickenpox
"Patient presenting with easy or excessive bruising, prolonged bleeding from small cuts, bleeding gums",Thrombocytopenia
Experiencing acute sharp lower right abdominal pain and loss of appetite.,Appendicitis
"It started yesterday with intense fear of social interactions, fear of being judged or embarrassed, blushing and sweating around people and avoidance of social situations.",Social Anxiety Disorder
"Suffering from sweating, hunger, blurred vision",Hypoglycemia
Feeling dizziness,Arrhythmia
"I'm experiencing chronic cough, excess sputum and wheezing.",COPD
"I feel terrible with stomach cramps, vomiting and body aches.",Gastroenteritis
"Patient presenting with bloating, gas, skin rash",Celiac Disease
"Feeling persistent cough, mild fever, wheezing",Bronchitis
"Feeling unintended weight loss, fatigue, blurred vision",Diabetes Type 1
"Doctor, I've had waking up too early, irritability, difficulty concentrating",Insomnia Disorder
"Patient reports pounding racing heart, chest tightness and trembling with increasing discomfort.",Panic Disorder
